Sales,Quantity,Discount,Profit,Profit Margin (%),Ship_Duration,Region,Segment,Category,Sub_Category,Ship_Mode,Month,Weekday,Log_Sales,High_Discount,Month_Num,Weekday_Num,SubCat_ProfRate,Profitable
261.96,2,0.0,41.9136,16.000000000000004,3,South,Consumer,Furniture,Bookcases,Second Class,November,Tuesday,5.572001929355964,0,11,2,0.5263157894736842,1
731.94,3,0.0,219.582,30.0,3,South,Consumer,Furniture,Chairs,Second Class,November,Tuesday,6.597063843147503,0,11,2,0.6042154566744731,1
14.62,2,0.0,6.8714,47.0,4,West,Corporate,Office Supplies,Labels,Second Class,June,Sunday,2.7485521444115397,0,6,7,1.0,1
957.58,5,0.45,-383.031,-39.99989557008291,7,South,Consumer,Furniture,Tables,Standard Class,October,Sunday,6.86545302274823,1,10,7,0.3627906976744186,0
22.37,2,0.2,2.5164,11.248994188645508,7,South,Consumer,Office Supplies,Storage,Standard Class,October,Sunday,3.1514531485507664,0,10,7,0.7795698924731183,1
48.86,7,0.0,14.1694,28.999999999999996,5,West,Consumer,Furniture,Furnishings,Standard Class,June,Monday,3.9092190780954117,0,6,1,0.8065522620904836,1
7.28,4,0.0,1.9656,27.0,5,West,Consumer,Office Supplies,Art,Standard Class,June,Monday,2.1138429683971687,0,6,1,1.0,1
907.15,6,0.2,90.7152,10.000022047070495,5,West,Consumer,Technology,Phones,Standard Class,June,Monday,6.811409563195452,0,6,1,0.8521008403361344,1
18.5,3,0.2,5.7825,31.256756756756754,5,West,Consumer,Office Supplies,Binders,Standard Class,June,Monday,2.970414465569701,0,6,1,0.6011730205278593,1
114.9,5,0.0,34.47,30.0,5,West,Consumer,Office Supplies,Appliances,Standard Class,June,Monday,4.752727750345706,0,6,1,0.867109634551495,1
1706.18,9,0.2,85.3092,5.000011722092628,5,West,Consumer,Furniture,Tables,Standard Class,June,Monday,7.442598165389832,0,6,1,0.3627906976744186,1
911.42,4,0.2,68.3568,7.5000329156700545,5,West,Consumer,Technology,Phones,Standard Class,June,Monday,6.816100410380423,0,6,1,0.8521008403361344,1
407.98,3,0.2,132.5922,32.49968135692926,5,West,Consumer,Office Supplies,Binders,Standard Class,December,Monday,6.013666255091668,0,12,1,0.6011730205278593,1
68.81,5,0.8,-123.858,-180.0,4,Central,Home Office,Office Supplies,Appliances,Standard Class,November,Sunday,4.24577726598231,1,11,7,0.867109634551495,0
2.54,3,0.8,-3.816,-150.23622047244095,4,Central,Home Office,Office Supplies,Binders,Standard Class,November,Sunday,1.264126727145683,1,11,7,0.6011730205278593,0
665.88,6,0.0,13.3176,2.0,7,Central,Consumer,Office Supplies,Storage,Standard Class,November,Tuesday,6.502610119684893,0,11,2,0.7795698924731183,1
55.5,2,0.0,9.99,18.0,2,West,Consumer,Office Supplies,Storage,Second Class,May,Tuesday,4.034240638152395,0,5,2,0.7795698924731183,1
8.56,2,0.0,2.4824,28.999999999999996,5,West,Consumer,Office Supplies,Art,Second Class,August,Wednesday,2.25758772706331,0,8,3,1.0,1
213.48,3,0.2,16.011,7.5,5,West,Consumer,Technology,Phones,Second Class,August,Wednesday,5.3682164939277035,0,8,3,0.8521008403361344,1
22.72,4,0.2,7.384,32.5,5,West,Consumer,Office Supplies,Binders,Second Class,August,Wednesday,3.1663185741295248,0,8,3,0.6011730205278593,1
