iter	Passed	Remaining
0	8	1639
1	12	1277
2	20	1326
3	27	1349
4	34	1343
5	41	1345
6	48	1336
7	55	1343
8	63	1347
9	71	1350
10	78	1351
11	85	1346
12	93	1340
13	100	1329
14	107	1326
15	114	1318
16	121	1308
17	128	1301
18	135	1291
19	142	1284
20	149	1276
21	156	1269
22	164	1263
23	171	1256
24	177	1245
25	184	1237
26	191	1230
27	198	1222
28	206	1216
29	213	1209
30	220	1203
31	228	1197
32	234	1188
33	241	1180
34	248	1172
35	255	1164
36	262	1155
37	269	1147
38	276	1139
39	282	1131
40	289	1123
41	296	1115
42	303	1108
43	310	1100
44	317	1092
45	323	1084
46	330	1076
47	337	1068
48	344	1060
49	350	1052
50	357	1045
51	364	1037
52	371	1029
53	377	1021
54	384	1014
55	392	1008
56	400	1003
57	404	990
58	411	982
59	418	975
60	424	968
61	431	961
62	438	953
63	445	946
64	452	939
65	458	931
66	465	924
67	472	916
68	479	909
69	485	902
70	492	895
71	499	888
72	506	881
73	513	873
74	520	866
75	526	859
76	533	852
77	541	846
78	547	839
79	554	832
80	561	824
81	568	817
82	574	810
83	581	802
84	587	795
85	594	787
86	600	780
87	607	773
88	614	766
89	621	759
90	628	752
91	635	745
92	642	739
93	649	732
94	656	725
95	663	718
96	670	711
97	677	705
98	684	698
99	691	691
100	698	684
101	705	677
102	712	670
103	719	663
104	725	656
105	732	650
106	739	643
107	746	636
108	753	629
109	760	622
110	768	615
111	775	608
112	781	602
113	788	595
114	795	588
115	803	581
116	810	574
117	817	567
118	824	560
119	830	553
120	837	546
121	844	539
122	851	533
123	858	526
124	865	519
125	872	512
126	880	505
127	886	498
128	893	491
129	900	484
130	907	477
131	914	471
132	921	464
133	929	457
134	936	450
135	943	443
136	950	436
137	957	430
138	964	423
139	971	416
140	978	409
141	985	402
142	992	395
143	999	388
144	1006	381
145	1013	374
146	1020	367
147	1027	360
148	1034	353
149	1040	346
150	1047	340
151	1054	333
152	1061	326
153	1068	319
154	1075	312
155	1082	305
156	1089	298
157	1096	291
158	1103	284
159	1110	277
160	1117	270
161	1124	263
162	1132	256
163	1139	250
164	1146	243
165	1153	236
166	1159	229
167	1166	222
168	1173	215
169	1181	208
170	1188	201
171	1196	194
172	1202	187
173	1210	180
174	1216	173
175	1223	166
176	1230	159
177	1237	152
178	1244	146
179	1251	139
180	1258	132
181	1265	125
182	1273	118
183	1280	111
184	1286	104
185	1293	97
186	1300	90
187	1307	83
188	1314	76
189	1322	69
190	1329	62
191	1337	55
192	1344	48
193	1351	41
194	1358	34
195	1365	27
196	1372	20
197	1379	13
198	1386	6
199	1393	0
